a	strain	eps HSE	eps	Edipole 	IP	Bulk IP	eNEg	Area	Sdipole	eig # anions
4.56	0.00	3.12	9.37	0.49	5.38	4.89	3.44	14.73	6.44	1.0603 1
4.56	-0.81	5.63	7.12	1.22	4.02	2.80	2.58	14.73	12.46	8.4411 1
4.56	-1.08	6.60	8.36	1.26	3.36	2.09	2.55	14.73	13.18	9.8231 1
5.37	0.81	4.37	9.46	0.14	5.75	5.61	3.44	20.31	3.68	-2.072 1
5.37	0.00	4.64	6.06	0.67	5.29	4.62	2.58	20.31	7.56	2.2657 1
5.37	0.28	5.52	7.34	0.68	4.84	4.16	2.55	20.31	7.94	3.1005 1
5.65	1.08	5.90	11.27	0.11	6.10	5.99	3.44	22.53	3.16	-2.9444 1
5.65	0.28	4.61	6.33	0.49	5.63	5.14	2.58	22.53	6.52	0.8922 1
5.65	0.00	5.48	7.79	0.53	5.34	4.81	2.55	22.53	6.94	1.5976 1
4.96	0.40	3.51	8.45	0.28	5.65	5.37	3.44	17.41	4.8	-0.851 1
4.96	-0.40	4.93	6.29	0.94	4.78	3.84	2.58	17.41	9.6	4.8174 1
5.10	0.54	4.28	9.35	0.14	5.71	5.57	3.44	19.88	3.92	-1.7864 1
5.10	-0.54	5.82	7.66	0.67	4.87	4.20	2.55	19.88	8.76	3.8877 1
5.51	0.14	4.60	6.14	0.58	5.52	4.95	2.58	21.41	7.06	1.5367 1
5.51	-0.14	5.47	7.46	0.58	5.14	4.56	2.55	21.41	7.44	2.3039 1
