Name	Chi_a	Chi_c	r_a	r_c	#a	#c	Area	Dielectric	vbm	IP		
ZnO-O	3.44	1.65	0.66	1.22	1	1	14.73	9.37029	1.0603	5.3797		
Zns-O	2.58	1.65	1.05	1.22	1	1	14.73	7.122794	8.4411	4.0189		
ZnSe-O	2.55	1.65	1.2	1.22	1	1	14.73	8.359822	9.8231	3.3569		
ZnO-S	3.44	1.65	0.66	1.22	1	1	20.31	5.485	-2.072	5.752		
ZnS-S	2.58	1.65	1.05	1.22	1	1	20.31	6.060833	2.2657	5.2943		
ZnSe-S	2.55	1.65	1.2	1.22	1	1	20.31	7.336339	3.1005	4.8395		
ZnO-Se	3.44	1.65	0.66	1.22	1	1	22.53	11.271345	-2.9444	6.1044		
ZnS-Se	2.58	1.65	1.05	1.22	1	1	22.53	6.327736	0.8922	5.6278		
ZnSe-Se	2.55	1.65	1.2	1.22	1	1	22.53	7.785812	1.5976	5.3424		
ZnO-OS	3.44	1.65	0.66	1.22	1	1	17.41	5.485	-0.851	5.651		
ZnS-OS	2.58	1.65	1.05	1.22	1	1	17.41	6.291665	4.8174	4.7826		
ZnO-Ose	3.44	1.65	0.66	1.22	1	1	19.88	5.485	-1.7864	5.7064		
ZnSe-Ose	2.55	1.65	1.2	1.22	1	1	19.88	7.657773	3.8877	4.8723		
ZnS-Sse	2.58	1.65	1.05	1.22	1	1	21.41	6.140109	1.5367	5.5233		
ZnSe-Sse	2.55	1.65	1.2	1.22	1	1	21.41	7.463044	2.3039	5.1361		
MgO	3.44	1.31	0.66	1.41	2	2	17.72	3.061654	3.0737	4.83		
CaO	3.44	1	0.66	1.76	2	2	22.66	3.186969	2.3026	4.35		
GaSb	2.05	1.81	1.39	1.22	1	1	26.6042	15.7	3.7365	4.4		expt dielectric
InSb	2.05	1.78	1.39	1.42	1	1	30.12	16.8	3.7607	4.44		
